"Anio_hecho","mes_hecho","Nombre_Municipio","Nombre_Departamento","Total_Victimas","Riesgo"
"1979","1","MONTERIA - CORDOBA","CORDOBA",1,"0"
"1979","1","PUERTO SALGAR - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1979","1","SAN VICENTE DE CHUCURI - SANTANDER","SANTANDER",1,"0"
"1979","1","SAN VICENTE DEL CAGUAN - CAQUETA","CAQUETA",1,"0"
"1979","1","SOACHA - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1979","1","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","1","VALLEDUPAR - CESAR","CESAR",1,"0"
"1979","1","VALPARAISO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","2","CARTAGO - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1979","2","CUNDAY - TOLIMA","TOLIMA",1,"0"
"1979","2","FLORENCIA - CAQUETA","CAQUETA",1,"0"
"1979","2","MUTATA - ANTIOQUIA","ANTIOQUIA",2,"0"
"1979","2","QUINCHIA - RISARALDA","RISARALDA",1,"0"
"1979","2","SAN VICENTE DE CHUCURI - SANTANDER","SANTANDER",1,"0"
"1979","2","VICTORIA - CALDAS","CALDAS",1,"0"
"1979","3","EL TAMBO - CAUCA","CAUCA",3,"1"
"1979","3","LA DORADA - CALDAS","CALDAS",3,"1"
"1979","3","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","3","PUERTO BOYACA - BOYACA","BOYACA",1,"0"
"1979","3","YACOPI - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1979","4","MUTATA - ANTIOQUIA","ANTIOQUIA",2,"0"
"1979","4","PALMIRA - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1979","4","PUERTO BERRIO - ANTIOQUIA","ANTIOQUIA",2,"0"
"1979","4","PUERTO BOYACA - BOYACA","BOYACA",1,"0"
"1979","4","SAN VICENTE DEL CAGUAN - CAQUETA","CAQUETA",1,"0"
"1979","4","SANTANDER DE QUILICHAO - CAUCA","CAUCA",2,"0"
"1979","4","TUNJA - BOYACA","BOYACA",1,"0"
"1979","4","YACOPI - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1979","5","FLORENCIA - CAQUETA","CAQUETA",2,"0"
"1979","6","CIMITARRA - SANTANDER","SANTANDER",1,"0"
"1979","6","MONTERIA - CORDOBA","CORDOBA",1,"0"
"1979","6","PUERTO RICO - CAQUETA","CAQUETA",1,"0"
"1979","6","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","6","VELEZ - SANTANDER","SANTANDER",1,"0"
"1979","7","ATACO - TOLIMA","TOLIMA",1,"0"
"1979","7","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",2,"0"
"1979","7","CHIGORODO - ANTIOQUIA","ANTIOQUIA",2,"0"
"1979","7","CIMITARRA - SANTANDER","SANTANDER",2,"0"
"1979","7","FLORENCIA - CAQUETA","CAQUETA",2,"0"
"1979","7","GRANADA - META","META",1,"0"
"1979","7","MEDELLIN - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","7","PUERTO TRIUNFO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","7","TURBO - ANTIOQUIA","ANTIOQUIA",1,"0"
"1979","7","VILLANUEVA - CASANARE","CASANARE",1,"0"
"1979","8","ISTMINA - CHOCO","CHOCO",1,"0"
"1979","8","MESETAS - META","META",1,"0"
"1979","8","NEIVA - HUILA","HUILA",1,"0"
"1979","8","PUERTO BOYACA - BOYACA","BOYACA",1,"0"
"1979","8","SABANA DE TORRES - SANTANDER","SANTANDER",1,"0"
